"Student ID","Structuring of the course"
111,10
134,10
135,10
140,10
148,10
15,10
150,10
152,10
158,10
160,10
161,10
165,10
168,10
173,10
174,10
176,10
185,10
19,10
191,10
194,10
195,10
20,10
203,10
204,10
209,10
212,10
219,10
223,10
229,10
24,10
243,10
244,10
246,10
261,10
271,10
276,10
283,10
29,10
291,10
296,10
297,10
30,10
313,10
317,10
319,10
328,10
330,10
334,10
338,10
345,10
355,10
358,10
366,10
370,10
371,10
392,10
400,10
401,10
436,10
458,10
464,10
47,10
48,10
486,10
487,10
494,10
495,10
497,10
511,10
517,10
519,10
520,10
529,10
557,10
588,10
593,10
602,10
61,10
62,10
620,10
621,10
623,10
639,10
65,10
651,10
668,10
672,10
674,10
676,10
677,10
682,10
693,10
697,10
7,10
719,10
721,10
727,10
731,10
740,10
747,10
753,10
754,10
76,10
763,10
773,10
774,10
819,10
82,10
831,10
846,10
852,10
86,10
87,10
873,10
877,10
893,10
908,10
916,10
925,10
933,10
958,10
96,10
984,10
